Original,WithoutStopwords,Lemmatized,Stemmed
bradleymanning,brazil,button,cervic
braille,brca,buy,cessat
brain,bread,buying,chain
braincontrolled,breads,buzz,chainsaw
braindamaged,break,bye,chair
braindead,breakfast,bypass,challeng
braineating,breakfastbowl,bystander,champ
braininjury,breaking,bâ,champion
brainmemory,breaks,c,chan
brains,breakthrough,ca,chanc
brainstorm,breakup,cabinet,chang
braintraining,breast,cadaver,changethelist
brainâ,breastcancer,cafe,channel
brainâs,breastfed,cafeteria,chantix
brand,breastfeeding,caffeinated,chanâ
branding,breasts,caffeine,charg
brantly,breath,cake,chariti
brave,breathe,caked,charl
braved,breathing,calcium,charlott
bravely,breed,calculator,chart
bravery,breeze,calendar,chase
bravest,brett,calf,chasinglif
brazil,brewers,calfhigh,chat
brca,brewing,calif,chatsâ
bread,brian,california,chaâ
breads,brick,call,cheap
break,bricks,called,cheaper
breakfast,bride,calling,cheat
breakfastbowl,brides,calm,check
breaking,bridge,calmer,checkup
breaks,brief,calorie,cheer
breakthrough,bright,cals,cheerio
breakup,brighter,calsday,cheerlead
breast,brilliant,calshr,chees
breastcancer,bring,cambodia,cheeseburg
breastfed,bringing,cambodian,cheeto
breastfeeding,brings,cambridge,chef
breasts,brink,came,chemic
breath,bristol,camel,chemo
breathe,britain,camera,chemogot
breathing,british,camp,chemotherapi
breed,brits,campaign,cherish
breeze,brittany,campaigner,chernobyl
brett,brittanymaynard,camped,cherri
brewers,brkfsts,camper,chest
brewing,bro,campfire,chew
brian,broad,campus,chexican
brick,broccoli,campylobacteriosis,chia
bricks,broke,can,chicago
bride,broken,canada,chicken
brides,bronx,canadian,chickenpox
bridge,brookeburke,cancel,chief
brief,brother,canceled,chikungunya
bright,brothers,cancer,child
brighter,brought,cancerfighting,childbear
brilliant,brown,cancerstricken,childbirth
bring,brownie,cancersurvivor,childbirthrel
bringing,brownies,cancerwith,childfriendli
brings,brrrr,cancr,childhood
brink,brush,candid,childhoodcanc
bristol,brushing,candy,children
britain,brussels,canine,childrenofsyria
british,brutal,cannabis,chile
brits,bt,canned,chilean
brittany,btw,cant,chili
brittanymaynard,bu,cantidad,chill
brkfsts,bucket,capability,chimerix
bro,bucks,cape,chimp
broad,buckthorn,cappon,chin
broccoli,buckyballs,capsule,china
broke,bud,captain,chines
broken,budget,captivity,chipper
bronx,buffalo,captured,chlorin
brookeburke,bug,car,chock
brother,bugs,caramel,chocol
brothers,build,carbohydrate,choic
brought,builder,carbon,choke
brown,builders,carbs,cholera
brownie,building,carcinogen,cholesterol
brownies,builds,card,cholesterollow
brrrr,built,cardiac,choos
brush,bullet,cardio,chopper
brushing,bulletin,cardiovascular,chopra
brussels,bulletproof,care,chopstick
brutal,bullets,cared,chose
bt,bullfrog,career,chow
btw,bullied,careful,chri
bu,bullies,carefully,chrissi
bucket,bulls,caregiver,christi
bucks,bully,caregiving,christin
buckthorn,bullyefect,caribbean,christina
buckyballs,bullyeffect,caring,christma
bud,bullying,carlos,chronic
budget,bump,caroler,chronicl
buffalo,bungee,carolina,chronsdiseas
bug,burden,carpet,chuck
bugs,burger,carried,chug
build,burgers,carrier,church
builder,burial,carry,cig
builders,burials,carrying,cigar
building,buried,carson,cigarett
builds,burn,cartilage,cigarettesâ
built,burned,carve,cinderella
bullet,burning,case,circu
bulletin,burns,caseykasem,circumcis
bulletproof,burnt,cash,cirqu
bullets,burnthis,cashier,cite
bullfrog,burpee,cast,citi
bullied,bust,casting,citizen
bullies,busted,castration,citru
bulls,buster,casual,civilian
bully,busting,cat,cj
bullyefect,busts,cataract,cjd
bullyeffect,busy,catastrophe,claim
bullying,butim,catastrophic,clampdown
bump,buts,catch,clarifi
bungee,butt,catching,class
burden,butter,category,classact
burger,butterfly,catherine,classmat
burgers,butters,catholic,classroom
burial,button,cattle,clau
burials,butts,caught,claw
buried,buy,cause,clean
burn,buying,caused,cleaner
burned,buzz,causing,cleanest
burning,bye,caution,cleans
burns,bypass,cavity,clear
burnt,bystander,cavitypreventing,clearest
burnthis,bystanders,cavityproof,clearli
burpee,bâ,cayenne,clench
bust,c,caâ,click
busted,ca,cc,client
buster,cabinet,cd,cliff
busting,cadavers,cdc,clifford
busts,cafes,cdcchat,climat
busy,cafeteria,ce,climb
but,caffeinated,celeb,clinic
butim,caffeine,celebrate,clinton
buts,caffeines,celebrates,clip
butt,cake,celebrating,clock
butter,caked,celebration,clog
butterfly,cakes,celebrity,clone
butters,calcium,celebs,close
button,calculator,celgenes,closer
butts,calendar,celiac,closeup
buy,calf,cell,closur
buying,calfhigh,cellphone,clot
buzz,calif,cellulite,clotgrab
by,california,cempras,cloth
bye,californias,cent,cloud
bypass,call,center,cltcnn
bystander,called,central,club
bystanders,calling,century,clue
bâ,calls,ceo,cluster
c,calm,cereal,cmvmatter
ca,calmer,cerebral,cnn
cabinet,calorie,certain,cnnafrica
cadavers,calories,certainly,cnnallergi
cafes,cals,certified,cnnallerâ
cafeteria,calsday,cervical,cnnaâ
caffeinated,calshr,cessation,cnnelect
caffeine,cambodia,chain,cnnexpress
caffeines,cambodian,chained,cnnhealth
cake,cambridge,chainsaw,cnnhealthminut
caked,came,chair,cnnhero
cakes,camels,challenge,cnnidea
calcium,camera,challenging,cnninstantstartup
calculator,cameras,champ,cnnireport
calendar,camp,champion,cnnorc
calf,campaign,chan,cnnparent
calfhigh,campaigners,chance,cnnroot
calif,camped,change,cnnsnow
california,campers,changed,cnntop
californias,campfires,changethelist,cnntownhal
call,campus,changing,cnnwomensmonth
called,campylobacteriosis,channel,cnnx
calling,canada,chantix,cnnâ
calls,canadian,chanâ,cnâ
calm,cancel,charge,co
calmer,canceled,charged,coach
calorie,cancels,charging,coachrefump
calories,cancer,charity,coachâ
cals,cancerfighting,charles,coast
calsday,cancers,charlotte,coasttocoastforcanc
calshr,cancerstricken,chart,coax
cambodia,cancersurvivor,chased,cocain
cambodian,cancerwith,chasing,cochlear
cambridge,cancr,chasinglife,cocktail
came,candid,chat,coddl
camels,candy,chatsâ,code
camera,canine,chatting,coffe
cameras,cannabis,chaâ,coffin
camp,canned,cheap,cofound
campaign,cans,cheaper,cognit
campaigners,cant,cheat,cogniz
camped,cantidad,cheating,cohabit
campers,capabilities,check,cohen
campfires,capability,checked,coil
campus,capes,checking,coke
campylobacteriosis,cappon,checkup,cold
can,capsule,cheering,coldâ
canada,capsules,cheerio,coli
canadian,captain,cheerleader,collabor
cancel,captivity,cheerleading,collaps
canceled,captured,cheese,colleagu
cancels,car,cheeseburger,collect
cancer,caramel,cheetos,colleg
cancerfighting,carbohydrate,chef,collegi
cancers,carbon,chemical,collin
cancerstricken,carbs,chemo,colon
cancersurvivor,carcinogen,chemogot,colonoscopi
cancerwith,carcinogens,chemotherapy,color
cancr,card,cherishing,colorado
candid,cardiac,chernobyl,colorect
candy,cardio,cherry,columbia
canine,cardiovascular,chest,columnist
cannabis,cards,chew,coma
canned,care,chewing,combat
cans,cared,chexican,combin
cant,career,chia,combo
cantidad,careful,chicago,come
capabilities,carefully,chicken,comeback
capability,caregiver,chickenpox,comed
capes,caregivers,chief,comfort
cappon,caregiving,chikungunya,comic
capsule,caribbean,child,comin
capsules,caring,childbearing,comment
captain,carlos,childbirth,commerci
captivity,carolers,childbirthrelated,commission
captured,carolina,childfriendly,commit
car,carpet,childhood,committe
caramel,carried,childhoodcancer,common
carbohydrate,carrier,childrenofsyria,commun
carbon,carriers,childrens,communion
carbs,carries,chile,commut
carcinogen,carry,chilean,compani
carcinogens,carrying,chili,compar
card,cars,chill,comparison
cardiac,carson,chimerix,compass
cardio,cartilage,chimp,compassion
cardiovascular,carve,chin,compens
cards,case,china,competit
care,cases,chinese,competitor
cared,caseykasem,chipper,complain
career,cash,chlorine,complet
careful,cashier,chock,complex
carefully,cast,chocolate,complic
caregiver,casting,choice,compos
caregivers,castration,choke,compound
caregiving,casts,choked,comprehens
caribbean,casual,choking,compress
caring,cat,cholera,compromis
carlos,cataract,cholesterol,comput
carolers,catastrophe,cholesterollowering,con
carolina,catastrophic,choose,concentr
carpet,catch,choosing,concept
carried,catches,chopper,concern
carrier,catching,chopra,concert
carriers,categories,chopstick,concierg
carries,catherine,chose,conclud
carry,catholic,chowing,concuss
carrying,cats,chris,concussionrel
cars,cattle,chrissie,condiment
carson,caught,christie,condit
cartilage,cause,christina,condom
carve,caused,christine,confer
case,causes,christmas,confess
cases,causing,chronic,confid
caseykasem,caution,chronically,confidenti
cash,cavities,chronicle,confirm
cashier,cavitypreventing,chronsdisease,conflictfre
cast,cavityproof,chuck,confus
casting,cayenne,chugging,congo
castration,caâ,church,congrat
casts,cc,cig,congratul
casual,cd,cigar,congress
cat,cdc,cigarette,conjoin
cataract,cdcchat,cigarettesâ,connect
catastrophe,cdcs,cinderella,connecticut
catastrophic,celeb,circumcise,conquer
catch,celebrate,circumcision,conscienti
catches,celebrates,circus,consensu
catching,celebrating,cirque,consent
categories,celebration,cite,consequ
catherine,celebrity,cited,conserv
catholic,celebs,citizen,consid
cats,celgenes,citrus,consider
cattle,celiac,city,conspir
caught,cell,civilian,constant
cause,cellphones,cj,constip
caused,cells,cjd,consult
causes,cellulite,claim,consum
causing,cempras,clampdown,consumpt
caution,center,clarify,contact
cavities,centers,class,contagi
cavitypreventing,central,classact,contagion
cavityproof,cents,classmate,contain
cayenne,centuries,classroom,contamin
caâ,ceo,claus,content
cc,cereal,clawing,contin
cd,cerebral,clean,continu
cdc,certain,cleaned,contraband
cdcchat,certainly,cleaner,contracept
cdcs,certified,cleanest,contract
celeb,cervical,cleaning,contradict
celebrate,ces,cleanse,contrarian
celebrates,cessation,cleanses,contrast
celebrating,chain,clear,contribut
celebration,chained,clearest,contributor
celebrity,chainsaw,clearly,control
celebs,chair,clench,controversi
celgenes,challenge,click,convent
celiac,challenges,client,convers
cell,challenging,cliff,convo
cellphones,champ,clifford,convâ
cells,champion,climate,cook
cellulite,champions,climb,cookfor
cempras,champs,climbed,cooki
center,chan,climbing,cool
centers,chance,clinic,cooper
central,change,clinical,cooperstyl
cents,changed,clinically,cop
centuries,changes,clinton,copd
ceo,changethelist,clip,cope
cereal,changing,clipped,copilot
cerebral,channel,clipping,copper
certain,channels,clock,cord
certainly,chantix,clogged,core
certified,chanâ,cloned,corgenix
cervical,charge,cloning,corn
ces,charged,close,corneal
cessation,charges,closed,corner
chain,charging,closely,coron
chained,charity,closer,coronaviru
chainsaw,charles,closeup,corpor
chair,charlotte,closing,correctli
challenge,chart,closure,correspond
challenges,chased,clot,cortexthatâ
challenging,chasing,clotgrabbing,cosmet
champ,chasinglife,clothes,cost
champion,chat,cloud,costa
champions,chatsâ,cltcnn,costco
champs,chatting,club,costli
chan,chaâ,clue,costum
chance,cheap,cluster,couch
change,cheaper,cmvmatters,cough
changed,cheat,cnn,could
changes,cheating,cnnafrica,couldnt
changethelist,check,cnnallergies,couldnât
changing,checked,cnnallerâ,council
channel,checking,cnnaâ,counsel
channels,checks,cnnelection,count
chantix,checkup,cnnexpress,counter
chanâ,checkups,cnnhealth,counterfeit
charge,cheering,cnnhealthminute,counti
charged,cheerios,cnnhero,countri
charges,cheerleaders,cnnheroes,countyour
charging,cheerleading,cnnideas,coupl
charity,cheese,cnninstantstartups,coupon
charles,cheeseburger,cnnireport,courag
charlotte,cheetos,cnnorc,cours
chart,chef,cnnparents,court
chased,chemical,cnnroots,coutur
chasing,chemicals,cnns,cover
chasinglife,chemo,cnnsnow,coverag
chat,chemogot,cnntop,covergirl
chatsâ,chemotherapy,cnntownhall,cow
chatting,cherishing,cnnwomensmonth,cpr
chaâ,chernobyl,cnnx,crab
cheap,cherry,cnnâ,crackin
cheaper,chest,cnâ,craft
cheat,chew,co,craigslist
cheating,chewing,coach,cramp
check,chexican,coaching,crank
checked,chia,coachrefump,crash
checking,chicago,coachâs,crave
checks,chicagos,coast,craze
checkup,chicken,coasttocoastforcancer,crazi
checkups,chickenpox,coax,cream
cheering,chickens,cocaine,creamer
cheerios,chief,cochlear,creat
cheerleaders,chikungunya,cocktail,credit
cheerleading,child,coddled,cremat
cheese,childbearing,code,crematorium
cheeseburger,childbirth,coffee,crew
cheetos,childbirthrelated,coffin,cri
chef,childfriendly,cofounder,cricket
chemical,childhood,cognition,crime
chemicals,childhoodcancer,cognitive,crimin
chemo,children,cognizant,criminologist
chemogot,childrenofsyria,cohabiting,crippl
chemotherapy,childrens,cohen,crise
cherishing,childs,coiled,crisi
chernobyl,chile,coke,critic
cherry,chilean,cold,cross
chest,chili,coldâ,crossfit
chew,chilis,coli,crosswalk
chewing,chill,collaborates,crossword
chexican,chimerix,collapse,crowdfund
chia,chimp,colleague,crucial
chicago,chimps,collect,cruel
chicagos,chin,collecting,cruelmysteri
chicken,china,college,cruis
chickenpox,chinas,collegiate,crunch
chickens,chinese,collins,crunchi
chief,chipper,colon,crush
chikungunya,chlorine,colonoscopy,cryotherapi
child,chock,color,crystal
childbearing,chocolate,colorado,csection
childbirth,choice,colorectal,ct
childbirthrelated,choices,columbia,cte
childfriendly,choke,columnist,ctlcnn
childhood,choked,coma,cuba
childhoodcancer,choking,combat,cubaflorida
children,cholera,combination,cuban
childrenofsyria,cholesterol,combine,cubatoflorida
childrens,cholesterollowering,combined,cube
childs,cholesterols,combo,cucumb
chile,choose,come,cuddl
chilean,choosing,comeback,cuddler
chili,chopper,comedic,cuddli
chilis,chopra,comfort,cue
chill,chopstick,comfortable,cull
chimerix,chopsticks,comic,culprit
chimp,chose,comin,cup
chimps,chowing,coming,cupid
chin,chris,comment,cupp
china,chrissie,commenter,curabl
chinas,christie,commercial,curb
chinese,christina,commissioner,cure
chipper,christine,commit,curiou
chlorine,christmas,commitment,curious
chock,chronic,committee,current
chocolate,chronically,committing,curv
choice,chronicle,common,curvebal
choices,chronicles,communicate,cushman
choke,chronsdisease,communicating,custom
choked,chuck,communication,cut
choking,chugging,communion,cute
cholera,churches,community,cv
cholesterol,cig,commute,cvshealth
cholesterollowering,cigarette,commuter,cyanid
cholesterols,cigarettes,company,cyaochat
choose,cigarettesâ,compare,cyber
choosing,cigars,comparison,cyberbulli
chopper,cinderella,compassion,cyborg
chopra,circumcise,compassionate,cycl
chopstick,circumcision,compensation,cyclon
chopsticks,circus,competition,cyclospora
chose,cirque,competitor,cynic
chowing,cited,complain,cyru
chris,cites,complete,cystic
chrissie,cities,completely,câ
christie,citizen,completes,cãpita
christina,citizens,complex,dad
christine,citrus,complicated,dahlia
christmas,city,complicates,daili
chronic,civilians,complication,dakota
chronically,cj,compose,dalai
chronicle,cjd,composer,dalla
chronicles,claim,compound,dallasfort
chronsdisease,claims,compounder,dam
chuck,clampdown,compounding,damag
chugging,clarify,comprehensive,damagefemal
churches,class,compression,dan
cig,classact,compromise,danc
cigarette,classes,computer,dancer
cigarettes,classmate,con,dander
cigarettesâ,classmates,concentrate,danger
cigars,classroom,concept,daniel
cinderella,claus,concern,danish
circumcise,clawing,concerned,dare
circumcision,clean,concert,darin
circus,cleaned,concierge,dark
cirque,cleaner,concludes,darker
cited,cleaners,concussion,dash
cites,cleanest,concussionrelated,dashdiet
cities,cleaning,condiment,data
citizen,cleanings,condition,date
citizens,cleanse,condom,daterap
citrus,cleanses,conference,daughter
city,clear,confession,day
civilians,clearest,confident,daycar
cj,clearly,confidential,dayearli
cjd,clears,confirmed,daylight
claim,clench,confirms,dayold
claims,click,conflictfree,dayscheck
clampdown,clients,confused,dayâ
clarify,cliff,confusing,dc
class,clifford,confusion,dd
classact,climate,congo,de
classes,climb,congrats,dea
classmate,climbed,congratulation,dead
classmates,climbing,congress,deadli
classroom,climbs,conjoined,deadlier
claus,clinic,connect,deadliest
clawing,clinical,connected,deadlin
clean,clinically,connecticut,deadlydos
cleaned,clinics,connection,deaf
cleaner,clinton,connects,deal
cleaners,clintons,conquer,dealng
cleanest,clip,conquered,dean
cleaning,clipped,conquering,dear
cleanings,clipping,conquers,death
cleanse,clips,conscientious,deathb
cleanses,clock,consensual,debat
clear,clocks,consent,debilit
clearest,clogged,consequence,debt
clearly,cloned,conservative,debunk
clears,cloning,consider,debut
clench,close,consideration,dec
click,closed,considered,decad
clients,closely,considering,decay
cliff,closer,conspire,deceiv
clifford,closes,constant,decemb
climate,closeup,constipated,decept
climb,closing,constipation,decid
climbed,closure,consult,decis
climbing,clot,consume,declar
climbs,clotgrabbing,consumer,declaw
clinic,clothes,consumption,declin
clinical,cloud,contact,decod
clinically,cltcnn,contagion,decor
clinics,club,contagious,decreas
clinton,clues,contain,dedic
clintons,cluster,contained,deduct
